Ort/Flughafen,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,April19,April20,April21
Vancouver,0,0,0,0,1388,5988,8226,8507,5069,1135,0,0,0,0,0,0,1666,7284,10387,10820,6669,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varadero,0,0,0,0,0,0,0,0,0,0,1268,1097,985,1113,1255,437,0,0,0,0,0,0,0,940,955,1159,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0
Varna,0,0,0,0,0,0,760,531,0,0,0,205,0,0,0,0,0,11,939,562,0,0,0,0,0,0,0,0,0,0,533,289,0,0,0,0,0,0,0,0,0,0,617,362,0,0,0,0
Venice,7062,8307,10294,10993,12027,10572,12425,10653,11687,11200,9255,9809,6937,6502,9088,11026,12178,11317,12976,12130,12116,11440,8973,7876,6136,6678,325,0,0,0,2418,2509,2681,1410,44,342,47,0,70,48,588,2235,4277,4386,5933,11026,0,48
Vilnius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
Warszawa,10035,10899,12459,11868,13141,13858,14596,13343,13095,13185,11716,13109,10662,11545,13092,13199,14498,13079,15238,13139,13547,12889,12359,13724,11420,12610,4183,88,0,0,2951,4283,4692,4988,3136,4043,1692,2220,2985,2243,3288,5495,9027,9105,8106,13199,88,2243
Washington,4104,2577,4814,4752,5173,5470,6509,6282,5301,5746,4286,5739,4926,3327,5142,5504,4807,5325,6504,6134,5423,5684,4084,5230,4725,3154,1954,0,0,0,889,1313,1027,1026,805,1413,366,0,611,679,1396,1825,3765,4374,3789,5504,0,679
Westerland,0,0,0,168,367,555,1676,1407,897,394,0,184,148,0,74,855,915,1459,1814,1761,1210,812,0,200,34,0,0,0,0,282,1226,1213,1031,702,0,0,0,0,0,0,97,491,1422,1194,1058,855,0,0
Wien,29409,31670,41235,46460,45297,44871,46876,39052,43768,42414,40568,40927,29419,30704,37635,44962,44679,41258,44138,36077,41307,41023,37857,40635,27774,28801,10998,0,0,5146,15248,13247,9630,4601,4044,6525,4650,4374,5238,5707,7884,12489,17317,16584,19482,44962,0,5707
Wroclaw,797,865,1016,919,920,993,1006,839,803,914,1195,1262,809,1007,1083,941,1096,904,1274,1078,1014,970,1168,1467,836,1108,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,493,533,941,0,0
Wuhan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0
Yaoundé Nsimalen International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yerevan,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Zadar,0,0,0,0,270,542,926,719,920,200,0,0,0,0,0,0,97,532,576,546,397,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0
Zagreb,3552,3330,3917,5025,5085,5270,5989,4783,5150,4577,3624,3947,3169,3365,3894,4651,4450,4776,5804,4269,4639,4436,3813,3768,3195,3253,1873,0,0,1758,2855,1823,811,311,444,510,340,454,603,662,861,1730,2568,2273,2403,4651,0,662
Zakinthos,0,0,0,0,627,1183,1395,1290,1189,563,0,0,0,0,0,0,1008,1195,1396,1411,1378,805,0,0,0,0,0,0,0,0,1299,1071,874,392,0,0,0,0,0,0,317,792,1376,1282,1240,0,0,0
Zürich,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,120,120,111,0,0,0,0,74,0,0,217,0,0,0,0,0,0,0,0,0,33,21,0,0,0,0,0,0,0,0,120,0,0
